X,Y,Fit_x,Fit_y
7362,30,3306.0,112.65093991123973
4754,284,5248.571428571428,178.8434678220961
8158,464,7191.142857142857,245.03599573295244
12714,150,9133.714285714286,311.2285236438088
3306,352,11076.285714285714,377.42105155466515
44100,717,13018.857142857143,443.6135794655215
25546,1003,14961.428571428572,509.80610737637784
24518,588,16904.0,575.9986352872343
19906,2104,18846.571428571428,642.1911631980906
5840,232,20789.14285714286,708.383691108947
10118,474,22731.714285714286,774.5762190198034
9184,366,24674.285714285714,840.7687469306597
9860,342,26616.857142857145,906.9612748415159
17474,1086,28559.428571428572,973.1538027523723
5360,208,30502.0,1039.3463306632286
7058,306,32444.57142857143,1105.538858574085
8468,203,34387.142857142855,1171.7313864849414
8358,344,36329.71428571429,1237.9239143957977
3744,49,38272.28571428572,1304.116442306654
5098,57,40214.857142857145,1370.3089702175105
6236,91,42157.42857142857,1436.5014981283668
28946,1179,44100.0,1502.6940260392232
